ThresholdType,Target,Sens,Spec,PPV,NPV,Thr,Sens_selected
0.70,0.7,0.7025316455696202,0.7866404887972005,0.006496139520690246,0.9992496387888851,0.002233241219073534,0.7025316455696202
0.75,0.75,0.7911392405063291,0.694212679927966,0.0051113992966714565,0.9994029140894182,0.0016118893399834633,0.7911392405063291
0.80,0.8,0.8521699819168174,0.6118053573063726,0.004340297765149596,0.9995204069061405,0.0011452179169282317,0.8521699819168174
0.85,0.85,0.8521699819168174,0.6118053573063726,0.004340297765149596,0.9995204069061405,0.0011452179169282317,0.8521699819168174
0.90,0.9,0.9168173598553345,0.4820821640372092,0.0035029173705319666,0.9996574730446178,0.0008275405270978808,0.9168173598553345
Youden,,0.7025316455696202,0.7866404887972005,0.006496139520690246,0.9992496387888851,0.002233241219073534,
