ThresholdType,Target,Sens,Spec,PPV,NPV,Thr,Sens_selected
0.70,0.7,0.769041769041769,0.7859007715638164,0.004358026496244161,0.9996420172707625,0.000976689625531435,0.769041769041769
0.75,0.75,0.769041769041769,0.7859007715638164,0.004358026496244161,0.9996420172707625,0.000976689625531435,0.769041769041769
0.80,0.8,0.8071253071253072,0.7467761686482214,0.0038690528770559864,0.9996853701109621,0.0008126477478072047,0.8071253071253072
0.85,0.85,0.8869778869778869,0.6071356928355643,0.0027436510319091933,0.9997732062959904,0.00045891370973549783,0.8869778869778869
0.90,0.9,0.9226044226044227,0.5131677829441582,0.0023040202238366384,0.9998162493874979,0.00045675045112147927,0.9226044226044227
Youden,,0.769041769041769,0.7859007715638164,0.004358026496244161,0.9996420172707625,0.000976689625531435,
