Subgroup, AUROC [CI],pos/total, Sensitivity, Specificity
All patients,0.823 [0.814–0.831], 2256/1116174, 0.853, 0.612
Norepinephrine events,0.835 [0.821–0.849], 722/1114640, 0.871, 0.612
Vasopressin events,0.859 [0.833–0.882], 188/1114106, 0.915, 0.612
Epinephrine events,0.913 [0.881–0.942], 62/1113980, 0.968, 0.612
Dopamine events,0.850 [0.814–0.882], 102/1114020, 0.882, 0.612
Dobutamine events,0.871 [0.806–0.919], 32/1113950, 0.906, 0.612
Phenylephrine events,0.801 [0.789–0.813], 1094/1115012, 0.821, 0.612
Milrinone events,0.792 [0.742–0.841], 56/1113974, 0.839, 0.612
Vasopressor-dominant agents,0.819 [0.809–0.827], 2004/1115922, 0.848, 0.612
Inotrope-dominant agents,0.820 [0.780–0.859], 88/1114006, 0.864, 0.612
Mixes-action agents,0.874 [0.848–0.899], 164/1114082, 0.915, 0.612
Excluded patients_all,0.761 [0.733–0.788], 350/201541, 0.669, 0.722
Non-excluded patients,0.834 [0.826–0.842], 1904/914357, 0.887, 0.588
Transplant patients,0.833 [0.779–0.882], 59/30205, 0.831, 0.687
Non-transplant patients,0.822 [0.813–0.831], 2195/1085693, 0.854, 0.610
Stroke patients,0.731 [0.672–0.790], 106/59149, 0.660, 0.701
Non-stroke patients,0.827 [0.818–0.835], 2148/1056749, 0.863, 0.607
Brain injury patients,0.843 [0.781–0.893], 49/51459, 0.776, 0.716
Non-brain injury patients,0.821 [0.813–0.830], 2205/1064439, 0.855, 0.607
Brain hemorrhage patients,0.748 [0.715–0.781], 206/112822, 0.597, 0.748
Non-brain hemorrhage patients,0.832 [0.823–0.840], 2048/1003076, 0.879, 0.597
On Catecholamines,0.692 [0.672–0.711], 809/188213, 0.894, 0.250
Not on catecholamines,0.844 [0.834–0.854], 1447/927961, 0.831, 0.685
Age < 70,0.825 [0.812–0.837], 1149/645553, 0.842, 0.646
Age 70-80,0.809 [0.794–0.823], 618/232597, 0.861, 0.560
Age 80-85,0.826 [0.797–0.852], 238/114824, 0.861, 0.570
Age > 85,0.826 [0.798–0.853], 200/101109, 0.880, 0.572
Surgical ICU,0.811 [0.799–0.822], 1287/555050, 0.833, 0.613
Non-surgical ICU,0.838 [0.827–0.850], 967/560848, 0.880, 0.611
Heart surgery,0.798 [0.783–0.813], 799/254065, 0.892, 0.499
No heart surgery,0.825 [0.815–0.836], 1455/861833, 0.832, 0.645
SOFA < 6 (low severity),0.846 [0.833–0.859], 824/636413, 0.837, 0.686
SOFA 6-10 (moderate severity),0.793 [0.779–0.807], 876/337523, 0.869, 0.532
SOFA >= 11 (high severity),0.768 [0.747–0.787], 554/141962, 0.852, 0.470
SOFA low (tertile 1),0.849 [0.829–0.869], 408/385666, 0.809, 0.727
SOFA mid (tertile 2),0.827 [0.814–0.842], 738/412333, 0.864, 0.602
SOFA high (tertile 3),0.771 [0.756–0.784], 1108/317899, 0.862, 0.486
SAPS I < 14 (low severity),0.862 [0.812–0.905], 69/118024, 0.754, 0.803
SAPS I 14-24 (moderate severity),0.817 [0.806–0.828], 1491/795706, 0.848, 0.616
SAPS I >= 25 (high severity),0.791 [0.774–0.807], 694/202168, 0.873, 0.486
SAPS I low (tertile 1),0.841 [0.821–0.863], 380/382504, 0.813, 0.723
SAPS I mid (tertile 2),0.817 [0.804–0.831], 814/392760, 0.865, 0.590
SAPS I high (tertile 3),0.788 [0.774–0.802], 1060/340634, 0.858, 0.512
SAPS II < 40 (low severity),0.840 [0.826–0.852], 803/583597, 0.827, 0.692
SAPS II 40-51 (moderate severity),0.826 [0.807–0.843], 507/262660, 0.882, 0.571
SAPS II >= 52 (high severity),0.771 [0.757–0.787], 944/269641, 0.860, 0.478
SAPS II low (tertile 1),0.863 [0.845–0.881], 413/387192, 0.835, 0.727
SAPS II mid (tertile 2),0.810 [0.794–0.826], 703/362759, 0.849, 0.607
SAPS II high (tertile 3),0.783 [0.771–0.797], 1138/365947, 0.862, 0.495
