ThresholdType,Target,Sens,Spec,PPV,NPV,Thr,Sens_selected
0.70,0.7,0.7307462686567164,0.6781507365563181,0.007447837753965791,0.9986895249164608,0.003246753243729472,0.7307462686567164
0.75,0.75,0.7516417910447761,0.6517822966035145,0.007083300514228489,0.9987422562592403,0.002926971996203065,0.7516417910447761
0.80,0.8,0.8250746268656717,0.5577801104143894,0.006128412865232565,0.9989646130904002,0.0020985996816307306,0.8250746268656717
0.85,0.85,0.8561194029850746,0.5117497799999211,0.0057616277200990005,0.9990716665703665,0.0019474197179079056,0.8561194029850746
0.90,0.9,0.9062686567164179,0.4196338725143937,0.00513431058858546,0.9992623393708742,0.0013753853272646666,0.9062686567164179
Youden,,0.7307462686567164,0.6781507365563181,0.007447837753965791,0.9986895249164608,0.003246753243729472,
