ThresholdType,Target,Sens,Spec,PPV,NPV,Thr,Sens_selected
0.70,0.7,0.7721518987341772,0.46778308636721916,0.0028727415844481746,0.9990336978695339,0.0013200567135476932,0.7721518987341772
0.75,0.75,0.7721518987341772,0.46778308636721916,0.0028727415844481746,0.9990336978695339,0.0013200567135476932,0.7721518987341772
0.80,0.8,0.8300180831826401,0.3661651934882101,0.0025936745983759866,0.9990790047372469,0.0010806610245637893,0.8300180831826401
0.85,0.85,0.8544303797468354,0.3206447871387301,0.0024913133571304287,0.9990992855824153,0.0009472559808130278,0.8544303797468354
0.90,0.9,0.9317359855334539,0.1506852389493661,0.002173757129839009,0.9991012011761765,0.0008533586180331269,0.9317359855334539
Youden,,0.5759493670886076,0.7185627667386648,0.004047373972271994,0.9988294869459093,0.0021735069874853543,
